Term,Status,Section,Title,Dates,Location,InstructionalMethods,Meetings,Instructors,Availability,Credits,Comments
Spring 2026,Open,MATH-041-L003,College Algebra Support,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 12:00-12:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 117 (LEC)",Mr. Lamont D. Vaughan,1 / 18 / 0,2.00000 Credits,...
Spring 2026,Open,MATH-041-L004,College Algebra Support,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 3:00-3:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 108 (LEC)",Ms. Cristina M. Linsenmeyer,1 / 18 / 0,2.00000 Credits,...
Spring 2026,Open,MATH-041-L005,College Algebra Support,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 6:00-6:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 117 (LEC)",Mr. Eugene Rose,2 / 18 / 0,2.00000 Credits,...
Spring 2026,Closed,MATH-041-L006,College Alg Support,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 12:00-12:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 108 (LEC)",Ms. Cristina M. Linsenmeyer,0 / 18 / 0,2.00000 Credits,...
Spring 2026,Open,MATH-061-101,Basic Algebra & Geometry,1/26/2026-3/14/2026,Main Campus,Emporium,"M, T, W, Th 10:00-11:50 AM
                        
                            1/26/2026 - 3/14/2026
                        
                            KC 102 (EMP)",Ms. Allison R. Bell,3 / 28 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-061-103,Basic Algebra & Geometry,1/26/2026-3/14/2026,Main Campus,Emporium,"M, T, W, Th 12:00-1:50 PM
                        
                            1/26/2026 - 3/14/2026
                        
                            KC 102 (EMP)",Dr. Kristy Vernille Blocklin,6 / 28 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-061-105,Basic Algebra & Geometry,1/26/2026-3/14/2026,Main Campus,Emporium,"M, T, W, Th 2:00-3:50 PM
                        
                            1/26/2026 - 3/14/2026
                        
                            KC 102 (EMP)",Ms. Sunithi Khanna,3 / 28 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-061-106,Basic Algebra & Geometry,1/26/2026-3/14/2026,Main Campus,Emporium,"M, T, W, Th 6:00-7:50 PM
                        
                            1/26/2026 - 3/14/2026
                        
                            KC 102 (EMP)",Mr. Darin J. Segal,2 / 28 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-061-201,Basic Algebra & Geometry,3/23/2026-5/16/2026,Main Campus,Emporium,"M, T, W, Th 10:00-11:50 AM
                        
                            3/23/2026 - 5/16/2026
                        
                            KC 102 (EMP)",Ms. Allison R. Bell,5 / 28 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-061-203,Basic Algebra & Geometry,3/23/2026-5/16/2026,Main Campus,Emporium,"M, T, W, Th 12:00-1:50 PM
                        
                            3/23/2026 - 5/16/2026
                        
                            KC 102 (EMP)",Dr. Kristy Vernille Blocklin,3 / 28 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-061-205,Basic Algebra & Geometry,3/23/2026-5/16/2026,Main Campus,Emporium,"M, T, W, Th 2:00-3:50 PM
                        
                            3/23/2026 - 5/16/2026
                        
                            KC 102 (EMP)",Ms. Sunithi Khanna,8 / 28 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-061-206,Basic Algebra & Geometry,3/23/2026-5/16/2026,Main Campus,Emporium,"M, T, W, Th 6:00-7:50 PM
                        
                            3/23/2026 - 5/16/2026
                        
                            KC 102 (EMP)",Mr. Darin J. Segal,6 / 28 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-073-L002,Intermediate Algebra Support,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 9:30-10:20 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 203 (LEC)",Dr. Kristy Vernille Blocklin,4 / 18 / 0,2.00000 Credits,...
Spring 2026,Open,MATH-073-L004,Intermediate Algebra Support,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 11:00-11:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 203 (LEC)",Dr. Kristy Vernille Blocklin,2 / 18 / 0,2.00000 Credits,...
Spring 2026,Open,MATH-073-L006,Intermediate Algebra Support,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 12:30-1:20 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 204 (LEC)",Ms. Jean M. Ragin,1 / 18 / 0,2.00000 Credits,...
Spring 2026,Open,MATH-073-L010,Intermediate Algebra Support,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 5:30-6:20 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 112 (LEC)",Ms. Bita Parniani,2 / 18 / 0,2.00000 Credits,...
Spring 2026,Open,MATH-127-001,Concepts of Math. I,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 10:00-11:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 335 (LEC)",Ms. Kaitlyn E. Butler,8 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-128-300,Concepts of Math II,1/26/2026-5/16/2026,Scheduled Zoom,Online Hybrid,"T 7:30-9:20 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            WEB CANVAS (OLHY)",Mr. Eric Granahan,4 / 24 / 0,4.00000 Credits,"This is a hybri
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-129-300,Concepts of Math III,1/26/2026-5/16/2026,Scheduled Zoom,Online,"M, W 6:30-8:20 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            WEB CANVAS (ONL)",Mr. Eric Granahan,14 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-132-003,Mathematical Literacy,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 11:00 AM-12:15 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 113 (LEC)",Ms. Ann M. Ventre,10 / 24 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-132-300,Mathematical Literacy,1/26/2026-5/16/2026,Scheduled Zoom,Online,"M, W 6:00-7:15 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            WEB CANVAS (ONL)","Ms. Faye P. Merritt 
                            
                        
                            
                            
                            Mr. Kelvin Woods",13 / 24 / 0,3.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-132-L001,Mathematical Literacy,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 9:30-10:45 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 111 (LEC)",Ms. Mona Kamal,4 / 18 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-132-L003,Mathematical Literacy,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:30-1:45 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 209 (LEC)",Ms. Mary Ellen D. Henderson,5 / 18 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-132-L005,Mathematical Literacy,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 6:30-7:45 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 113 (LEC)",Mr. Kelvin Woods,2 / 18 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-138-001,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W, F 8:00-9:20 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 112 (LEC)",Mr. Michael O. Nyagol,2 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-138-002,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W, F 8:00-9:20 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 215 (LEC)",Mr. Lamont D. Vaughan,4 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-138-003,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W, F 9:30-10:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 213 (LEC)",Dr. Carol L. Howald,2 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-138-004,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W, F 11:00 AM-12:20 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 213 (LEC)",Dr. Carol L. Howald,1 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-138-005,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W, F 11:00 AM-12:20 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 215 (LEC)",Ms. Mary Ellen D. Henderson,4 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-138-006,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 10:00-11:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 211 (LEC)","Mr. Louis W. Fritz, V",9 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-138-009,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 9:00-10:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 215 (LEC)",Dr. Carol L. Howald,3 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-138-010,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:00-1:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 335 (LEC)",Ms. Kaitlyn E. Butler,1 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-138-011,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 2:00-3:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 213 (LEC)",Ms. Anu Rishi,4 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-138-300,Statistics,1/26/2026-5/16/2026,Scheduled Zoom,Online,"M, W 6:00-7:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            WEB CANVAS (ONL)",Ms. Connie B. Mangaoil,2 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-138-301,Statistics,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Mr. Todd D. Mateer,5 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-138-302,Statistics,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Ms. Anu Rishi,1 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-138-303,Statistics,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Ms. Anu Rishi,2 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-138-304,Statistics,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Ms. Mona Kamal,3 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-138-305,Statistics,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Dr. Hasna Banu,8 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-138-307,Statistics,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Mr. William D. Meeks,3 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-138-308,Statistics,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Ms. Fariba A. Roozbehi,5 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-138-400,Statistics,1/26/2026-3/14/2026,Online,Online,"1/26/2026 - 3/14/2026
                        
                             (ONL)",Ms. Greta R. Holtackers Cannon,6 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-138-401,Statistics,1/26/2026-3/14/2026,Online,Online,"1/26/2026 - 3/14/2026
                        
                             (ONL)",Anson Xuan,4 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-138-402,Statistics,1/26/2026-3/14/2026,Online,Online,"1/26/2026 - 3/14/2026
                        
                             (ONL)",Ms. Kaitlyn E. Butler,6 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-138-500,Statistics,3/23/2026-5/16/2026,Online,Online,"3/23/2026 - 5/16/2026
                        
                             (ONL)",Ms. Greta R. Holtackers Cannon,2 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-138-501,Statistics,3/23/2026-5/16/2026,Online,Online,"3/23/2026 - 5/16/2026
                        
                             (ONL)",Dr. James N. Gartside,3 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-138-502,Statistics,3/23/2026-5/16/2026,Online,Online,"3/23/2026 - 5/16/2026
                        
                             (ONL)",Ms. Kaitlyn E. Butler,3 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-138-503,Statistics,3/23/2026-5/16/2026,Online,Online,"3/23/2026 - 5/16/2026
                        
                             (ONL)",Anson Xuan,6 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-138-700,Statistics,1/26/2026-3/14/2026,Main Campus,Hybrid 50 (Online)/50 (F2F),"T, Th 10:00-11:50 AM
                        
                            1/26/2026 - 3/14/2026
                        
                            KC 213 (HYB)",Mr. Lamont D. Vaughan,16 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-138-800,Statistics,3/23/2026-5/16/2026,Main Campus,Hybrid 50 (Online)/50 (F2F),"T, Th 10:00-11:50 AM
                        
                            3/23/2026 - 5/16/2026
                        
                            KC 211 (HYB)",Mr. Lamont D. Vaughan,11 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-138-L002,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 12:00-1:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 211 (LEC)",Ms. Amy S. Curran,4 / 18 / 0,4.00000 Credits,...
Spring 2026,Closed,MATH-138-L004,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 10:00-11:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 114 (LEC)",Ms. Greta R. Holtackers Cannon,0 / 18 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-138-L005,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 10:00-11:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 111 (LEC)",Dr. Jamshaid A. Shahir,2 / 18 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-138-L007,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 12:00-1:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 111 (LEC)",Ms. Allison R. Bell,1 / 18 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-138-L010,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 2:00-3:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 111 (LEC)","Mr. Louis W. Fritz, V",1 / 18 / 0,4.00000 Credits,...
Spring 2026,Closed,MATH-138-L013,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 6:00-7:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 111 (LEC)",Shaila Sharmin,0 / 18 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-138-L014,Statistics,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 6:00-7:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 108 (LEC)",Shaila Sharmin,1 / 18 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-141-001,College Algebra,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 8:00-9:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 114 (LEC)",Dr. Gabriel B. Ayine,6 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-141-002,College Algebra,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 12:00-1:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 114 (LEC)",Dr. Gabriel B. Ayine,3 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-141-004,College Algebra,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:00-1:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 114 (LEC)",Mr. Joseph C. Stassi,1 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-141-300,College Algebra,1/26/2026-5/16/2026,Scheduled Zoom,Online,"T, Th 6:00-7:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            WEB CANVAS (ONL)",Ms. Anu Rishi,6 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-141-301,College Algebra,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Dr. Caroline E. Torcaso,4 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-141-302,College Algebra,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Ms. Rehana Yusaf,6 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-141-400,College Algebra,1/26/2026-3/14/2026,Online,Online,"1/26/2026 - 3/14/2026
                        
                             (ONL)",Mr. Guy G. Bunyard,7 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-141-500,College Algebra,3/23/2026-5/16/2026,Online,Online,"3/23/2026 - 5/16/2026
                        
                             (ONL)",Mr. Guy G. Bunyard,6 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-141-501,College Algebra,3/23/2026-5/16/2026,Online,Online,"3/23/2026 - 5/16/2026
                        
                             (ONL)",Mr. William D. Meeks,6 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Closed,MATH-141-L002,College Algebra,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 10:00-11:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 114 (LEC)",Mr. Michael O. Nyagol,0 / 18 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-141-L003,College Algebra,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:00-1:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 117 (LEC)",Mr. Lamont D. Vaughan,2 / 18 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-141-L004,College Algebra,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 2:00-3:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 117 (LEC)",Dr. Jamshaid A. Shahir,1 / 18 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-141-L005,College Algebra,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 7:00-8:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 117 (LEC)",Mr. Eugene Rose,2 / 18 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-141-L006,College Algebra,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:00-1:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 215 (LEC)",Ms. Kimberly A. Triplett,1 / 18 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-143-001,Precalculus I,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 9:30-10:45 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 112 (LEC)",Mr. John C. Esenwa,7 / 24 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-143-002,Precalculus I,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 12:30-1:45 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 112 (LEC)",Mr. Roderico De Armas,10 / 24 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-143-005,Precalculus I,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:30-1:45 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 112 (LEC)",Dr. Caroline E. Torcaso,8 / 24 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-143-100,Precalculus I,1/26/2026-3/14/2026,Main Campus,Lecture,"M, W, F 10:30 AM-12:20 PM
                        
                            1/26/2026 - 3/14/2026
                        
                            KC 115 (LEC)",Mr. Michael Thompson,10 / 24 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-143-300,Precalculus I,1/26/2026-5/16/2026,Scheduled Zoom,Online,"M, W 6:00-7:15 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            WEB CANVAS (ONL)",Ms. Mary De Armas,3 / 24 / 0,3.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-143-301,Precalculus I,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Dr. Caroline E. Torcaso,11 / 24 / 0,3.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-143-L002,Precalculus I,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 9:30-10:45 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 203 (LEC)",Dr. Kristy Vernille Blocklin,4 / 18 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-143-L004,Precalculus I,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 11:00 AM-12:15 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 112 (LEC)",Dr. Jane H. Wenstrom,2 / 18 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-143-L006,Precalculus I,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:30-1:45 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 113 (LEC)",Mr. Roderico De Armas,1 / 18 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-143-L010,Precalculus I,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 6:30-7:45 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 112 (LEC)",Mr. Rolandrias Bradford,2 / 18 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-145-001,Business Calculus,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 9:30-10:45 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 204 (LEC)",Mr. Robert W. Karkoska,13 / 24 / 0,3.00000 Credits,...
Spring 2026,Closed,MATH-145-002,Business Calculus,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:30-1:45 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 205 (LEC)",Mr. Michael O. Nyagol,0 / 24 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-145-003,Business Calculus,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 2:00-3:15 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 205 (LEC)",Ms. Rehana Yusaf,6 / 24 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-145-301,Business Calculus,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Ms. Rehana Yusaf,2 / 24 / 0,3.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-145-401,Business Calculus,1/26/2026-3/14/2026,Online,Online,"1/26/2026 - 3/14/2026
                        
                             (ONL)",Mr. Guy G. Bunyard,8 / 24 / 0,3.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-145-501,Business Calculus,3/23/2026-5/16/2026,Online,Online,"3/23/2026 - 5/16/2026
                        
                             (ONL)",Mr. Guy G. Bunyard,6 / 24 / 0,3.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-153-001,Precalculus II,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 12:30-1:45 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 116 (LEC)",Ms. Mona Kamal,4 / 24 / 0,3.00000 Credits,...
Spring 2026,Closed,MATH-153-002,Precalculus II,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 9:30-10:45 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 113 (LEC)",Mr. Roderico De Armas,0 / 24 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-153-003,Precalculus II,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 11:00 AM-12:15 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 115 (LEC)",Mr. Roderico De Armas,2 / 24 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-153-004,Precalculus II,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:30-1:45 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 115 (LEC)",Mr. A. Vaughn Winchell,1 / 24 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-153-200,Precalculus II,3/23/2026-5/16/2026,Main Campus,Lecture,"M, W, F 10:30 AM-12:20 PM
                        
                            3/23/2026 - 5/16/2026
                        
                            KC 115 (LEC)",Mr. Michael Thompson,15 / 24 / 0,3.00000 Credits,...
Spring 2026,Open,MATH-153-301,Precalculus II,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Ms. Christel J. Wohlafka,3 / 24 / 0,3.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-153-H601,Precalculus II HN,1/26/2026-5/16/2026,Main Campus,"Lecture
                            
                                Online Discussion","M, W 12:30-1:45 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 116 (LEC)
                        
                            
                        
                            1/26/2026 - 5/16/2026
                        
                             (ONDIS)","Ms. Mona Kamal 
                            
                        
                            
                            
                            Mr. A. Vaughn Winchell",4 / 24 / 0,3.00000 Credits,"This is an Hono
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-181-001,Calculus I,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W, F 8:00-9:20 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 117 (LEC)",Mr. Roderico De Armas,12 / 24 / 0,4.00000 Credits,...
Spring 2026,Closed,MATH-181-002,Calculus I,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W, F 9:30-10:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 209 (LEC)",Ms. Mary Ellen D. Henderson,0 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-181-003,Calculus I,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 12:00-1:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 118 (LEC)",Mr. John C. Esenwa,14 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-181-004,Calculus I,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 10:00-11:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 118 (LEC)",Dr. Sunhee Kim,2 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-181-005,Calculus I,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:00-1:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 118 (LEC)",Dr. Gabriel B. Ayine,12 / 24 / 0,4.00000 Credits,...
